"","SKA03_16","SKA03_19","SKA03_20","SKA03_27","SKA03_28","SKA03_29","SKA03_36","SKA03_38","SKA03_39","SKA03_41","SKA03_43","SKA03_45","SKA03_46","SKA03_48","SKA03_49","SKA03_56","SKA03_58","SKA03_59"
"LMX1A-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RXRG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"LRRC52-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LRRC52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RPS2P10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MGST3",4182,3420,5309,2729,1686,2013,3315,3900,4077,3497,2922,3081,3135,3230,2792,5790,6011,7320
"ALDH9A1",1850,1846,2515,2417,706,852,2385,2980,2998,2231,2063,2132,2332,2260,2302,3518,3694,4150
"RPL21P27",0,0,0,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"LOC440700",0,2,0,2,0,0,6,0,6,0,0,0,0,0,0,0,0,8
"LOC105371581",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"TMCO1",7551,5187,8035,4547,2789,3025,4292,4751,4598,5451,4890,5071,5113,5518,5192,6494,6765,6647
"TMCO1-AS1",12,20,17,35,18,16,30,30,29,17,21,7,14,28,16,25,21,19
"RPL26P12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UCK2",3038,3311,4619,4275,1830,1887,2779,2752,3015,3191,2964,3204,4250,3841,3766,2510,2555,2540
"MIR3658",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RPS3AP10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAM78B",8,0,10,20,2,8,0,2,1,0,2,2,0,9,7,8,2,16
"FAM78B-AS1",0,0,2,16,14,1,0,0,0,0,0,0,0,0,0,2,0,6
"MIR921",0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC112268276",0,0,4,14,8,2,0,2,0,0,0,0,4,0,0,0,0,0
"LOC284685",0,4,8,8,4,0,8,10,4,2,14,10,8,8,4,12,10,8
"LINC01675",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FMO9P",2,0,0,0,0,2,0,0,0,0,2,0,4,0,0,0,0,0
"RPL4P2",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"CNN2P10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"POGK",1405,1760,2670,3950,798,642,1332,1436,1482,1802,2377,2570,3076,2827,3089,1294,1398,1217
"TADA1",570,604,888,685,325,283,479,566,566,505,575,712,641,646,638,455,552,590
"ILDR2",34,50,54,40,15,14,12,4,14,53,48,68,26,32,45,9,24,2
"MAEL",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"LOC105371600",0,2,6,2,0,0,0,0,0,6,2,4,6,0,0,0,4,2
"GPA33",62,112,100,18,10,8,2,4,0,185,198,214,206,157,174,224,230,241
"DUSP27",2,0,0,8,0,0,2,0,0,2,2,0,0,0,0,0,0,0
"RPS17P6",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"LOC105371601",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC01363",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"POU2F1",1938,1091,2018,4688,1761,1537,2427,2129,2173,1470,1716,1705,3004,1979,2439,2337,2460,2422
"CD247",2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC101928512",0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,0,6
"AKR1D1P1",0,0,1,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0
"LOC107985224",0,0,0,3,2,0,2,5,2,0,0,2,1,1,0,0,0,8
"CREG1",2121,2253,2989,2445,930,980,2238,2482,2325,2521,2540,2774,2380,2448,2500,3424,3426,3879
"RPS18P4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RCSD1",2,0,0,4,0,0,0,0,0,0,4,0,0,0,0,2,0,2
"TRP-CGG1-1",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRP-AGG2-1",0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0
"MPZL1",6649,6863,9282,9702,3434,3503,11587,12161,11808,6956,7554,7863,9514,8661,8521,13377,13114,13109
"ADCY10",11,16,22,48,26,12,46,56,58,20,26,37,12,12,16,33,40,44
"MPC2",3676,3288,4122,3492,2183,2212,5551,7397,7872,4015,3344,3613,4084,4273,4054,10904,12119,13112
"DCAF6",1533,1638,2343,2605,827,845,3972,4226,4098,1821,1859,1975,2448,2309,2442,5191,5248,5477
"MIR1255B2",0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"GCSHP5",44,20,42,22,30,36,16,20,12,32,24,20,16,30,20,28,24,28
"GPR161",983,861,1382,2047,841,818,2458,2271,2186,925,866,970,1611,1266,1358,2817,2518,2231
"TIPRL",2004,1788,2663,1920,1033,1204,1980,2145,2175,2012,1801,1892,2150,2175,2162,2627,2626,2634
"RPL34P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC107985453",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SFT2D2",2904,2668,3938,6523,1527,1491,4265,3689,3396,2628,3265,2964,4741,3145,3247,4227,4021,4029
"ANKRD36BP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TBX19",32,20,42,54,17,16,37,36,51,31,14,17,35,30,22,35,38,38
"LOC441914",7,3,9,14,17,4,3,2,0,3,7,4,7,0,0,3,2,0
"MIR557",2,2,6,6,11,0,0,2,0,0,0,0,0,0,2,0,0,0
"LOC100505918",98,30,76,176,128,81,6,0,4,13,33,34,26,6,30,8,4,2
"QRSL1P1",12,8,12,71,16,23,2,0,0,10,11,3,18,7,4,0,0,2
"LOC101928565",17,13,9,56,19,12,0,0,4,0,13,3,11,5,1,1,5,2
"XCL2",17,16,20,30,9,10,14,13,26,25,5,6,16,14,18,18,14,23
"RPL7AP19",50,59,125,74,30,46,66,51,61,95,85,97,61,56,67,39,43,35
"XCL1",63,36,52,54,43,49,86,74,55,44,39,44,85,59,55,105,114,115
"RPL7AP21",0,0,2,0,4,0,0,2,0,4,0,2,0,0,0,0,0,0
"LOC105371604",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DPT",4,2,1,0,0,1,4,4,4,3,3,6,1,0,0,9,9,2
"LINC00626",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105371606",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SUMO1P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00970",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RPL29P7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC101928596",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATP1B1",6508,6861,8712,8467,2567,2611,8787,8382,8001,7733,7464,7690,8200,7594,7414,9896,9549,8402
"NME7",227,318,428,418,166,184,408,435,403,331,374,314,413,371,426,555,471,451
"BLZF1",486,625,955,885,256,239,713,642,643,723,713,741,732,686,793,690,602,618
"LOC105371605",1,0,2,12,3,0,0,0,0,0,2,0,6,0,0,0,0,0
"CCDC181",8,0,16,16,12,6,0,3,0,0,0,4,2,0,2,0,0,0
"SLC19A2",508,585,753,1294,296,305,1466,1464,1498,748,851,887,852,866,1036,1476,1660,1498
"F5",44,94,90,215,52,62,69,112,106,80,120,64,133,115,106,108,142,134
"SELP",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC107985745",0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
"SELL",2,8,2,4,1,8,4,4,4,0,10,2,0,10,2,10,7,0
"SELE",4,0,4,4,2,0,2,0,4,0,0,0,1,0,0,0,0,0
"LOC101928628",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0
"METTL18",291,268,404,274,162,220,146,182,214,231,250,175,242,253,248,215,210,260
"C1orf112",317,658,651,1289,196,215,668,775,701,771,937,1021,996,1090,1077,654,776,605
"SCYL3",125,131,179,338,93,111,227,247,282,168,188,250,165,209,220,187,254,238
"KIFAP3",437,399,583,591,227,206,435,475,451,547,513,482,628,618,746,649,807,733
"LOC105371608",0,0,3,5,0,2,2,0,0,0,4,2,0,0,2,0,0,0
"SIGLEC30P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"METTL11B",6,8,4,3,2,2,2,4,0,0,3,0,0,6,0,3,0,0
"MIR3119-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIR3119-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC01681",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
