"","SKA03_36","SKA03_38","SKA03_39","SKA03_56","SKA03_58","SKA03_59"
"IL22RA1",430,600,668,935,1011,1266
"IFNLR1",413,410,369,275,349,351
"LINC02800",0,0,0,0,0,0
"GRHL3-AS1",0,0,0,0,0,0
"GRHL3",0,0,4,0,0,2
"STPG1",159,171,178,197,193,148
"NIPAL3",323,248,268,442,425,446
"RCAN3AS",0,0,2,4,0,0
"RCAN3",349,363,380,350,316,373
"NCMAP-DT",3,0,1,6,2,3
"NCMAP",7,13,16,18,19,20
"SRRM1",2986,2580,3087,2276,2463,2253
"CLIC4",5717,5558,5703,5398,5584,4420
"LOC105376876",0,0,0,2,2,0
"RUNX3",106,92,74,76,74,70
"MIR6731",0,0,0,0,0,0
"LOC107984932",2,0,0,2,0,2
"RUNX3-AS1",0,0,0,0,4,0
"MIR4425",0,0,0,0,0,0
"LINC02793",0,0,0,0,0,0
"IFITM3P7",0,0,0,0,0,0
"SYF2",528,534,524,860,992,1088
"RSRP1",190,230,223,249,271,283
"LOC105376882",0,0,0,0,0,0
"RHD",0,0,0,0,4,0
"SDHDP6",2,3,2,2,8,2
"TMEM50A",1034,1177,1085,1474,1553,1434
