"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"POC1A",760.292514144737,0.153979113045939,0.118608883350126,1.29820894267592,0.194215545991491,0.369717672427693
"ALDOAP1",0,NA,NA,NA,NA,NA
"ALAS1",2069.36158925264,-0.0448874081296461,0.0885259160890528,-0.507053867530629,0.612117022755163,0.776483506837971
"TLR9",0.364214087794525,2.10402301279401,4.0359713046739,0.521317634334372,0.602145518507725,NA
"TWF2",941.191968337473,-0.30244562360184,0.117784687963583,-2.56778388456869,0.010235094449915,0.0386181477408745
"LOC101929054",5.50626487339558,-1.02439548330572,1.25338724394362,-0.81730166654847,0.413756054627304,0.611829588375141
"PPM1M",206.077349714525,-0.301103501989751,0.199205700643627,-1.51152050878511,0.13065588738922,0.279006214182758
"WDR82",4156.7763110512,0.223673612386081,0.0711976836180807,3.14158552665721,0.00168035723340975,0.00876957837429867
"MIRLET7G",0,NA,NA,NA,NA,NA
"LOC107986086",0.484777171778568,-0.654418143588659,4.03913170988586,-0.162019510774298,0.871290489488795,NA
"GLYCTK",1709.77589435865,-0.683843783833912,0.122265929024161,-5.59308541056255,2.23069485332212e-08,5.69408810488343e-07
"GLYCTK-AS1",0,NA,NA,NA,NA,NA
"MIR135A1",0,NA,NA,NA,NA,NA
"DNAH1",5.12824469819946,-1.35882870681489,1.16579248411102,-1.16558369120991,0.243782804813621,0.433053391024986
"PPP2R5CP",0.66688421567583,0.260550522218223,3.61535681948555,0.0720677197929521,0.942548015277995,NA
"BAP1",1657.67401880059,-0.262858043381721,0.0928319800807557,-2.83154623173025,0.00463235363204201,0.0202299295455459
"PHF7",31.7270977622593,-0.352331390702985,0.471036712432569,-0.747991359067203,0.454465369577821,0.64940904489428
"SEMA3G",17.3081549052436,-0.381740972319029,0.622939456370608,-0.612805896969734,0.540004691239844,0.719236590916238
"LOC105377091",1.0456130446513,3.63140331782543,3.2900386984229,1.10375702254389,0.269698552530413,NA
"TNNC1",473.111920780064,-0.6177930299183,0.147450707227239,-4.18982751277148,2.79166581206945e-05,0.00027762931750441
"NISCH",365.415859947369,-0.0399355365306068,0.152291947802377,-0.262230125143777,0.79314402929389,0.888609631742727
"STAB1",1.74963240097924,2.22644415539889,2.3305978461278,0.955310311943371,0.339420794236551,NA
"NT5DC2",3830.73059973787,-0.0902939836604447,0.0853336124853965,-1.05812915954891,0.289996562091261,0.485422962898528
"SMIM4",265.676102991144,-0.0463293394257841,0.166586006816053,-0.278110630726276,0.78092743539885,0.882407176817371
"PBRM1",1295.68266221688,0.0193485045969576,0.112445105477574,0.172070669637252,0.863381971049985,0.928985833753382
"GNL3",1535.83853622751,0.308007031544901,0.0923299953725747,3.33593682423589,0.000850124802222691,0.00500482033370791
"SNORD136",0,NA,NA,NA,NA,NA
"SNORD19",0,NA,NA,NA,NA,NA
"SNORD19B",0.901924034713246,3.41417255586139,2.91289507080179,1.17208909791647,0.241161286479968,NA
"SNORD19C",1.21898767553154,1.56139966468673,2.88186336020977,0.541802115341469,0.587954833999048,NA
"SNORD69",0.154226228022614,-0.735672478640096,4.0804728567969,-0.180290986966051,0.856924131093269,NA
"GLT8D1",622.44915729994,-0.46946118278101,0.136340733934461,-3.44329364551228,0.000574674966277457,0.0036159982849738
"SPCS1",2350.17259789507,-0.13260708141051,0.0947445169871216,-1.39962802732463,0.161624736525525,0.325735104140749
"NEK4",595.621569024759,0.756971163605732,0.140160841980078,5.40073213682126,6.63694653071301e-08,1.50488693611249e-06
"LOC100301990",1.34501956276766,0.238145943976232,2.51017183017763,0.0948723673468122,0.924416205159197,NA
"LOC100499399",2.2693469967008,2.67360484371383,1.94776426589982,1.37265319552348,0.169860186130816,NA
"LOC101059924",0,NA,NA,NA,NA,NA
"ITIH1",14.7635894474319,-1.571606650443,0.900405321627127,-1.74544353825335,0.080907692602651,0.195633695770147
"ITIH3",0.616904912090456,-2.64048905102467,3.97239485760259,-0.664709613640536,0.506236243690843,NA
"ITIH4",10.7638372489575,-1.32537314049309,0.906124770674828,-1.46268282623598,0.143554187568903,0.299057747366284
"ITIH4-AS1",0,NA,NA,NA,NA,NA
"MUSTN1",0.328495068797831,0.226108200788762,4.0804728567969,0.0554122545900851,0.955810033087492,NA
"STIMATE-MUSTN1",0,NA,NA,NA,NA,NA
"STIMATE",379.518897458867,-0.202680318701265,0.147943960753926,-1.36998034707468,0.170693036571726,0.338477803844065
"MIR8064",0,NA,NA,NA,NA,NA
"SFMBT1",2092.10470365884,-0.0419765578901903,0.0945584875048891,-0.443921629859191,0.657099245755979,0.807211599285264
"SERBP1P3",0,NA,NA,NA,NA,NA
"RFT1",1018.90204478821,0.125287360240157,0.108265107180329,1.1572275085035,0.247179421647565,0.436988221211007
"PRKCD",656.467747200497,0.049894470065609,0.127753164643602,0.390553691603662,0.696127160923228,0.832003184146878
"TKT",12676.9890648756,-0.160564801746117,0.0775070280496898,-2.07161603000929,0.0383012637904582,0.109923768453974
"LOC107986087",4.86264242097427,1.55789923413871,1.50979953714852,1.03185833337917,0.302138487579685,0.498808734132397
"DCP1A",1115.37250475823,0.218837550916071,0.103342596286543,2.11759292663105,0.0342095577452019,0.100894855494133
"SNORD38C",0,NA,NA,NA,NA,NA
"LOC105377094",0,NA,NA,NA,NA,NA
"RPS25P4",0,NA,NA,NA,NA,NA
"CACNA1D",297.542204622119,-0.624230239009728,0.171081117253231,-3.64873838230641,0.000263531301954818,0.00190610667467798
"CHDH",1377.06124135591,-0.169609267618177,0.118494205759062,-1.43137182558149,0.15232367870605,0.312168819690284
"IL17RB",411.514713095581,-0.203646839275806,0.156020442295883,-1.30525741549689,0.191805209351327,0.366626174254522
"ACTR8",865.580602743266,0.00437700341077822,0.116754950637154,0.0374888035744273,0.970095267326027,0.985250230921283
"SELENOK",666.391862468543,-0.0400030838319307,0.127691167968318,-0.313279958734939,0.75406797495061,0.866529952848374
"LOC105377095",1.28621000448047,-1.34685872205598,2.38648614156308,-0.56436896850104,0.572503053086068,NA
"CABYRP1",0,NA,NA,NA,NA,NA
"CACNA2D3",0,NA,NA,NA,NA,NA
"LOC107986088",0,NA,NA,NA,NA,NA
"RPS15P5",0,NA,NA,NA,NA,NA
"ESRG",0,NA,NA,NA,NA,NA
"CACNA2D3-AS1",0,NA,NA,NA,NA,NA
"LRTM1",0,NA,NA,NA,NA,NA
"LOC107986089",0,NA,NA,NA,NA,NA
"LINC02017",0,NA,NA,NA,NA,NA
"LOC105377097",0,NA,NA,NA,NA,NA
"LINC02030",0,NA,NA,NA,NA,NA
"WNT5A",29.4511898432055,1.51161146079497,0.524047569377202,2.88449283829601,0.00392044675708335,0.0176532541546815
"ERC2",5.50157927567785,1.36821896686519,1.12025564800462,1.22134529676529,0.221955309733878,0.407097445437617
"LOC105377100",0,NA,NA,NA,NA,NA
"ERC2-IT1",0,NA,NA,NA,NA,NA
"MIR3938",0,NA,NA,NA,NA,NA
"LOC105377099",0,NA,NA,NA,NA,NA
"CCDC66",108.34786475581,0.646549594610148,0.264137283392577,2.44777861839825,0.0143739943275307,0.0507696068745955
"TASOR",2317.94908605962,0.0935189239453173,0.0932796259396932,1.00256538341801,0.316070604948333,0.514259759326924
"ARHGEF3",1011.09308092137,0.27585346096842,0.114039103827587,2.41893746714702,0.0155659158693766,0.0541633990830095
"ARHGEF3-AS1",0,NA,NA,NA,NA,NA
"SPATA12",9.20921800838679,-0.188415102076466,0.851684550008931,-0.221226394296445,0.824916158683261,0.906063608401901
"IL17RD",104.797054126145,0.274644721323752,0.289039647661909,0.950197398680076,0.34201196017695,0.5414348951988
"RPL19P2",0,NA,NA,NA,NA,NA
"LOC105377101",7.22518931070546,0.839728729175452,1.09627878374417,0.765981009235156,0.443687602049383,0.639298968208837
"HESX1",8.07784621349925,0.0363629953934697,1.06162947193525,0.0342520590796933,0.972676153727955,0.986352492065696
"APPL1",1981.18807995182,0.300767262368174,0.0968299285918386,3.10613946268597,0.00189547295953187,0.00969166097250042
"ASB14",18.2530551819956,0.033807557369898,0.643275562342555,0.0525553267510804,0.958086211834454,0.978499594618642
"LOC105377102",0,NA,NA,NA,NA,NA
"DNAH12",864.041160638337,0.343380668365545,0.136393967552455,2.5175649226091,0.0118169189262598,0.0433287027296194
"RNF7P1",0,NA,NA,NA,NA,NA
"RPS8P5",0.725336248984964,3.09956651498396,3.78620853690384,0.818646539083296,0.412988106395879,NA
"PDE12",2362.2218654458,0.394582482541413,0.084510985367469,4.66900818663629,3.02657319701339e-06,4.19760480982449e-05
"ARF4",9276.27404564431,0.046486283401267,0.0782119115765983,0.594363217369259,0.552269204622259,0.729303846110311
"ARF4-AS1",21.7444221920283,-0.328921784256568,0.560769509454604,-0.586554330631265,0.557503062348022,0.734060400843207
"RNU6ATAC26P",0,NA,NA,NA,NA,NA
"DENND6A",1183.56456976267,0.311066875774272,0.0988236234289657,3.14769753406043,0.00164561875891528,0.00862343608458029
"DENND6A-DT",1.24516576564822,2.72571683312595,2.63804535795791,1.03323349801533,0.301494640105401,NA
"SLMAP",3995.07510861784,0.263229227742102,0.0792739583484579,3.32050061869054,0.000898561599559408,0.00524339373283789
"LOC105377103",3.81339125126152,0.10275712402988,1.27750045129144,0.0804360765007964,0.935890434949674,NA
"PPIAP16",0.181334062246241,1.18788087300239,4.0804728567969,0.291113533820896,0.770964489488144,NA
"LOC105377104",0,NA,NA,NA,NA,NA
"FLNB",23497.9291471023,0.349433274102865,0.0762490939042607,4.58278592191034,4.5882170589093e-06,5.98915266756294e-05
"FLNB-AS1",21.1807273172431,0.640867584913023,0.689803759736713,0.929057831110738,0.352859116592464,0.551783733669865
"LOC105377650",8.14096574334189,-1.4773631488416,0.94012828583721,-1.57144846197875,0.116078516744419,0.256049669208399
"DNASE1L3",10.3017383097917,-0.894001720253722,0.985300171608089,-0.907339454528502,0.36422731607945,0.56336758564222
"LOC107986091",0.665338252373787,0.255391183798461,3.61855567811556,0.0705782103459193,0.943733452782164,NA
"ABHD6",428.416761206233,0.147540116095239,0.143237771472469,1.0300363834102,0.302992926522406,0.499773169089436
"HTD2",0.462521921611917,-2.22481449985329,3.99407006734181,-0.557029411688309,0.577507334248881,NA
"RPP14",0.336176509463952,0.226108200788761,4.0804728567969,0.0554122545900849,0.955810033087493,NA
"PXK",173.110534310772,0.584388021611855,0.210775931737717,2.77255575052587,0.00556179915037154,0.0235055924986373
"LOC105377106",0,NA,NA,NA,NA,NA
"PDHB",4765.53832853126,-0.157131196658959,0.0741783124899059,-2.11829025741643,0.0341504932310317,0.10080395738856
"LOC107986092",4.79570918269182,1.53357480390373,1.33327995431884,1.15022715142164,0.250050326061358,0.440193312527943
"KCTD6",255.884416226954,0.374006856668081,0.187198872407334,1.99791190971634,0.0457262112275413,0.126499556758639
"ACOX2",202.293594699081,-0.799600522267186,0.22181277341842,-3.60484434662763,0.000312340069624629,0.00218782650621326
"LOC107984079",4.19564313851271,-3.40882453961606,1.58994700665363,-2.14398626202682,0.0320339875649275,0.096009662352438
"FAM107A",0.308138931133379,-1.63865629677628,4.03712091490858,-0.405897254829531,0.684818095181176,NA
"FAM3D-AS1",0,NA,NA,NA,NA,NA
"FAM3D",0,NA,NA,NA,NA,NA
"LOC105377109",0,NA,NA,NA,NA,NA
"CFAP20DC",204.300908118516,0.436154037207313,0.22774373761952,1.91510880503759,0.0554786291525429,0.147050617134221
"CFAP20DC-AS1",0.725336248984964,3.09956651498396,3.78620853690384,0.818646539083296,0.412988106395879,NA
"LOC105377110",0,NA,NA,NA,NA,NA
"LOC339902",0,NA,NA,NA,NA,NA
"FHIT",96.4071141546255,-0.609348802152746,0.269619554049677,-2.26003193388738,0.0238192689681543,0.0757401783410378
"LOC105377113",0.725336248984964,3.09956651498396,3.78620853690384,0.818646539083296,0.412988106395879,NA
"LOC105377112",1.02800637686627,1.25516659708111,3.06074735195321,0.410085006291072,0.681743591133853,NA
"LOC107986015",0,NA,NA,NA,NA,NA
"LOC101060206",1.06128945089539,3.65164443409493,2.9595924408315,1.23383354536106,0.217264936602809,NA
"MIR548BB",0,NA,NA,NA,NA,NA
"PPIAP70",0.462208396700068,-2.22392479133502,3.99412333606284,-0.556799228320083,0.577664611174711,NA
"LOC100421730",0,NA,NA,NA,NA,NA
"PPIAP71",0.302670127881305,-1.61619915665311,4.03913240239187,-0.400135225994581,0.689056920081298,NA
"LOC105377111",0.364214087794525,2.10402301279401,4.0359713046739,0.521317634334372,0.602145518507725,NA
"LOC105377114",0,NA,NA,NA,NA,NA
"LOC105377115",0,NA,NA,NA,NA,NA
"PTPRG",926.196898788383,0.138141072583388,0.133828879159718,1.03222169572626,0.301968273678288,0.498577180439261
"LOC107986016",6.66769210776416,1.0683756135983,1.09702746534041,0.973882284038153,0.330114991030406,0.528578692216469
"RPL10AP6",33.2687083105463,0.17966406188825,0.464799078751136,0.386541346792225,0.699095787167907,0.834113641539571
"ID2B",2.31302794302275,-0.168935226229595,1.71899417962987,-0.0982756243339753,0.921713433433775,NA
"LOC105377116",1.44117994493401,4.09073044371719,2.66138853991198,1.53706622778667,0.124277092156672,NA
