"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diffexpressed","difflabel"
"LOC105377319",0,NA,NA,NA,NA,NA,"NO",NA
"MIR4451",0,NA,NA,NA,NA,NA,"NO",NA
"MAPK10",0.934484421569002,1.29496539409968,3.41689554736164,0.378988873423301,0.70469612633963,NA,"NO",NA
"MAPK10-AS1",0,NA,NA,NA,NA,NA,"NO",NA
"MIR4452",0,NA,NA,NA,NA,NA,"NO",NA
"PTPN13",54.447810188888,-0.12390340201705,0.494091199978254,-0.2507703072277,0.801991699558813,0.906901753719887,"NO",NA
"LOC107986189",0.513022824922433,2.71391529895752,4.0155435609565,0.67585253596678,0.49913427542649,NA,"NO",NA
"SLC10A6",1.56415921759618,0.931430492262377,2.571014053226,0.362281369521748,0.717141778919501,NA,"NO",NA
"RPL6P13",0,NA,NA,NA,NA,NA,"NO",NA
"C4orf36",17.525046963378,-1.42166793570214,0.718645693300372,-1.97825986985763,0.0478993977772633,0.20043492541512,"DOWN",NA
"LOC260422",6.53140284039818,4.45354455261747,1.84116090750189,2.41887851000491,0.0155684389017338,0.108183151396566,"UP",NA
"AFF1-AS1",118.787266441517,1.29031833965565,0.501904455143574,2.57084456300859,0.0101450849763905,0.085535381355417,"UP",NA
"AFF1",1417.56723414072,-0.0119182687738803,0.366405869396834,-0.0325275050683543,0.974051381758415,0.988840991658315,"NO",NA
"TECRP1",26.563457183166,1.31541443652796,0.817778413617029,1.60852183748639,0.107720937433406,0.312467347648134,"NO",NA
"LOC105377320",8.2784853845408,4.88815360603749,1.4073746704459,3.47324256197446,0.000514210402676772,0.0142617110959484,"UP",NA
"KLHL8",1358.49350024337,0.0690019259998308,0.202800140238667,0.340245948146906,0.733671318439359,0.869024154381354,"NO",NA
"LOC100419572",2.1104047351301,0.775989541408847,2.2970555536186,0.337819231313938,0.735499416523253,NA,"NO",NA
"GAPDHP60",15.2276254792001,3.51392370840433,1.0606191258536,3.31308725512211,0.000922721882330919,0.0209273622409861,"UP",NA
"MIR5705",0,NA,NA,NA,NA,NA,"NO",NA
